20521869: |Acc X:0.10, Acc Y:-0.35, Acc Z:9.76 |Gyr X:-0.02, Gyr Y:0.04, Gyr Z:0.02 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.26, Pitch:0.85, Yaw:-36.44
20521969: |Acc X:-0.06, Acc Y:-0.54, Acc Z:9.48 |Gyr X:-0.03, Gyr Y:0.00, Gyr Z:-0.00 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.48 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.24, Pitch:0.85, Yaw:-36.43
20522069: |Acc X:-0.13, Acc Y:-0.85, Acc Z:10.12 |Gyr X:-0.02, Gyr Y:-0.00, Gyr Z:0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.22, Pitch:0.85, Yaw:-36.43
20522169: |Acc X:0.15, Acc Y:-0.89, Acc Z:9.78 |Gyr X:0.01, Gyr Y:-0.01, Gyr Z:-0.00 |Mag X:-0.03, Mag Y:0.45, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.22, Pitch:0.85, Yaw:-36.43
20522269: |Acc X:0.14, Acc Y:-0.90, Acc Z:9.93 |Gyr X:-0.00, Gyr Y:-0.01, Gyr Z:-0.01 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.22, Pitch:0.85, Yaw:-36.43
20522369: |Acc X:0.11, Acc Y:-0.83, Acc Z:9.91 |Gyr X:0.00, Gyr Y:-0.01, Gyr Z:-0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.22, Pitch:0.85, Yaw:-36.44
20522469: |Acc X:0.16, Acc Y:-0.77, Acc Z:10.20 |Gyr X:0.03, Gyr Y:-0.01, Gyr Z:-0.05 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.23, Pitch:0.84, Yaw:-36.46
20522569: |Acc X:-0.13, Acc Y:-0.33, Acc Z:10.18 |Gyr X:0.03, Gyr Y:0.01, Gyr Z:-0.04 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.24, Pitch:0.84, Yaw:-36.47
20522669: |Acc X:-0.08, Acc Y:0.15, Acc Z:10.43 |Gyr X:0.05, Gyr Y:-0.01, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.46 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.26, Pitch:0.84, Yaw:-36.50
20522769: |Acc X:-0.14, Acc Y:0.32, Acc Z:10.16 |Gyr X:0.06, Gyr Y:-0.01, Gyr Z:-0.05 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.29, Pitch:0.84, Yaw:-36.52
